Commune,Wilaya,Statut,Pop_1998,Pop_2008,Taux_Croissance,Pop_2026,Pop_Tahat_2008,Taux_Activite_2008,Indicateur_Jeunesse_2008,Pop_Active_Est_2026,Jeunesse_Scolarisee_Est_2026,Zone_Sismique,Coef_Acceleration,Nombre_Total_Polices_assurances_seismes,Bien immobilier,Installation commerciale,Installation industrielle,Nb_Zones_Industrielles,Nb_Zones_Activite,Descriptions_ZI,Nb_Agences_GAM,Nb_Agences_Concurrents_Total,Nb_Agences_SAA,Nb_Agences_ALLIANCE,Nb_Agences_AXA,Nb_Agences_CAAR,Nb_Agences_CAAT,Nb_Agences_CASH,Nb_Agences_CIAR,Nb_Agences_TRUST,Concurrents_Noms,Has_GAM,Nb_Agences_GAM2,Capacite_Agences_Theorique,Deficit_Agences,Chiffre_Affaires_Potentiel_DA,Probabilite_Succes_%,Score_IA_Predictif,Lat_Commune,Lon_Commune,ar_name,post_code,Rank_National,Rank_Wilaya
El Bouni,Annaba,Commune,111956,125265,1.13,153334,9658.0,43.9,95.7,67314.0,146741.0,2.0,0.15,990.0,553.0,430.0,7.0,1,1,ZHUN / ZI,0,2,0,1,0,0,0,0,1,0,ALLIANCE|CIAR,0,0,10.0,8.0,50485500.00000001,100.0,100.0,36.8404084,7.6381562,البوني,23005,1,1
Es Sénia,Oran,Commune,64797,96928,4.11,200106,18397.0,45.8,93.3,91649.0,186699.0,2.0,0.15,194.0,145.0,46.0,3.0,1,1,ZI Es Senia,0,3,0,0,1,0,0,0,2,0,AXA|CIAR,0,0,13.0,10.0,68736750.0,100.0,100.0,35.5859,-0.618,السانية,31005,1,1
Djelfa,Djelfa,Province Capital,164126,289226,5.83,801946,92635.0,40.4,74.8,776770.0,1438178.0,4.0,0.25,14.0,10.0,3.0,1.0,1,1,ZI Djelfa,0,6,0,1,0,1,2,0,2,0,ALLIANCE|CAAR|CAAT|CIAR,0,0,53.0,47.0,582577500.0,100.0,99.37,34.6741226,3.2504381,الجلفة,17001,3,1
M'Sila,M'Sila,Province Capital,123059,156647,2.44,241868,,49.8,88.65,715809.0,11715.0,1.0,0.1,861.0,857.0,3.0,1.0,1,1,ZI M'sila,0,10,6,1,1,2,0,0,0,0,SAA|ALLIANCE|AXA|CAAR,0,0,16.0,6.0,536856750.00000006,100.0,95.42,,,,,4,1
Beni Mered,Blida,Commune,21457,34860,4.97,83501,13213.0,46.1,93.8,38494.0,78324.0,4.0,0.25,149.0,124.0,14.0,11.0,1,1,ZI Beni Mered,0,1,0,0,0,0,0,0,1,0,CIAR,0,0,5.0,4.0,28870500.0,94.42588669791516,90.52,36.5327654,2.8198593,بني مراد,09025,5,1
Ksar El Boukhari,Médéa,Commune,53637,67813,2.37,103428,3625.0,44.2,88.2,45715.0,91223.0,2.0,0.15,13.0,10.0,3.0,0.0,1,1,ZI ANIREF (200 ha),0,3,0,2,0,0,0,0,1,0,ALLIANCE|CIAR,0,0,6.0,3.0,34286250.0,84.63200525783736,84.24,35.8750361,2.6861545,قصر البخاري,26035,6,1
Bou Saâda,M'Sila,Commune,104336,125573,1.87,175278,23953.0,43.5,90.8,76246.0,159152.0,1.0,0.1,5.0,5.0,0.0,0.0,0,0,,0,2,0,0,0,0,1,0,1,0,CAAT|CIAR,0,0,11.0,9.0,57184500.0,70.0,69.83,35.2131065,4.0429152,بوسعادة,28020,7,2
Messaad,Djelfa,Commune,77754,102453,2.8,168333,4594.0,41.8,58.6,70363.0,98643.0,1.0,0.1,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,11.0,11.0,52772250.0,70.0,69.16,34.1658932,3.4682458,مسعد,17017,8,2
Rouissat,Ouargla,Commune,37814,58112,4.39,125942,39409.0,43.4,93.4,54659.0,117630.0,0.0,0.0,78.0,68.0,10.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,8.0,8.0,40994250.00000001,70.0,68.61,31.8694,5.3366,الرويسات,30005,9,1
Hassi Bahbah,Djelfa,Commune,61790,86421,3.41,158082,30913.0,40.6,85.5,64181.0,135160.0,1.0,0.1,1.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,10.0,10.0,48135750.0,70.0,68.34,35.0764297,2.9959141,حاسي بحبح,17004,10,3
